t,iter,drug_c,pd_output_1,scope,scenario
4.0,45,0.0,5.3658868938173985,ode_,scn1
8.0,45,0.0,5.3658868938173985,ode_,scn1
12.0,45,0.0,5.3658868938173985,ode_,scn1
24.0,45,0.0,5.3658868938173985,ode_,scn1
48.0,45,0.0,5.3658868938173985,ode_,scn1
72.0,45,0.0,5.3658868938173985,ode_,scn1
120.0,45,0.0,5.3658868938173985,ode_,scn1
0.0,46,0.0,5.058907109443431,ode_,scn1
2.0,46,0.0,5.058907109443431,ode_,scn1
4.0,46,0.0,5.058907109443431,ode_,scn1
8.0,46,0.0,5.058907109443431,ode_,scn1
12.0,46,0.0,5.058907109443431,ode_,scn1
24.0,46,0.0,5.058907109443431,ode_,scn1
48.0,46,0.0,5.058907109443431,ode_,scn1
72.0,46,0.0,5.058907109443431,ode_,scn1
120.0,46,0.0,5.058907109443431,ode_,scn1
0.0,47,0.0,4.101584989724494,ode_,scn1
2.0,47,0.0,4.101584989724494,ode_,scn1
4.0,47,0.0,4.101584989724494,ode_,scn1
8.0,47,0.0,4.101584989724494,ode_,scn1
12.0,47,0.0,4.101584989724494,ode_,scn1
24.0,47,0.0,4.101584989724494,ode_,scn1
48.0,47,0.0,4.101584989724494,ode_,scn1
72.0,47,0.0,4.101584989724494,ode_,scn1
120.0,47,0.0,4.101584989724494,ode_,scn1
0.0,48,0.0,4.683312051063195,ode_,scn1
2.0,48,0.0,4.683312051063195,ode_,scn1
4.0,48,0.0,4.683312051063195,ode_,scn1
8.0,48,0.0,4.683312051063195,ode_,scn1
12.0,48,0.0,4.683312051063195,ode_,scn1
24.0,48,0.0,4.683312051063195,ode_,scn1
48.0,48,0.0,4.683312051063195,ode_,scn1
72.0,48,0.0,4.683312051063195,ode_,scn1
120.0,48,0.0,4.683312051063195,ode_,scn1
0.0,49,0.0,5.11335744524334,ode_,scn1
2.0,49,0.0,5.11335744524334,ode_,scn1
4.0,49,0.0,5.11335744524334,ode_,scn1
8.0,49,0.0,5.11335744524334,ode_,scn1
12.0,49,0.0,5.11335744524334,ode_,scn1
24.0,49,0.0,5.11335744524334,ode_,scn1
48.0,49,0.0,5.11335744524334,ode_,scn1
72.0,49,0.0,5.11335744524334,ode_,scn1
120.0,49,0.0,5.11335744524334,ode_,scn1
0.0,50,0.0,5.69221609161233,ode_,scn1
2.0,50,0.0,5.69221609161233,ode_,scn1
4.0,50,0.0,5.69221609161233,ode_,scn1
8.0,50,0.0,5.69221609161233,ode_,scn1
12.0,50,0.0,5.69221609161233,ode_,scn1
24.0,50,0.0,5.69221609161233,ode_,scn1
48.0,50,0.0,5.69221609161233,ode_,scn1
72.0,50,0.0,5.69221609161233,ode_,scn1
120.0,50,0.0,5.69221609161233,ode_,scn1
0.0,51,0.0,5.463640765811402,ode_,scn1
2.0,51,0.0,5.463640765811402,ode_,scn1
4.0,51,0.0,5.463640765811402,ode_,scn1
8.0,51,0.0,5.463640765811402,ode_,scn1
12.0,51,0.0,5.463640765811402,ode_,scn1
24.0,51,0.0,5.463640765811402,ode_,scn1
48.0,51,0.0,5.463640765811402,ode_,scn1
72.0,51,0.0,5.463640765811402,ode_,scn1
120.0,51,0.0,5.463640765811402,ode_,scn1
0.0,52,0.0,4.667079633506403,ode_,scn1
2.0,52,0.0,4.667079633506403,ode_,scn1
4.0,52,0.0,4.667079633506403,ode_,scn1
8.0,52,0.0,4.667079633506403,ode_,scn1
12.0,52,0.0,4.667079633506403,ode_,scn1
24.0,52,0.0,4.667079633506403,ode_,scn1
48.0,52,0.0,4.667079633506403,ode_,scn1
72.0,52,0.0,4.667079633506403,ode_,scn1
120.0,52,0.0,4.667079633506403,ode_,scn1
0.0,53,0.0,4.565592767095676,ode_,scn1
2.0,53,0.0,4.565592767095676,ode_,scn1
4.0,53,0.0,4.565592767095676,ode_,scn1
8.0,53,0.0,4.565592767095676,ode_,scn1
12.0,53,0.0,4.565592767095676,ode_,scn1
24.0,53,0.0,4.565592767095676,ode_,scn1
48.0,53,0.0,4.565592767095676,ode_,scn1
72.0,53,0.0,4.565592767095676,ode_,scn1
120.0,53,0.0,4.565592767095676,ode_,scn1
0.0,54,0.0,5.371399255597901,ode_,scn1
2.0,54,0.0,5.371399255597901,ode_,scn1
4.0,54,0.0,5.371399255597901,ode_,scn1
8.0,54,0.0,5.371399255597901,ode_,scn1
12.0,54,0.0,5.371399255597901,ode_,scn1
24.0,54,0.0,5.371399255597901,ode_,scn1
48.0,54,0.0,5.371399255597901,ode_,scn1
72.0,54,0.0,5.371399255597901,ode_,scn1
120.0,54,0.0,5.371399255597901,ode_,scn1
0.0,55,0.0,4.653645271426343,ode_,scn1
2.0,55,0.0,4.653645271426343,ode_,scn1
4.0,55,0.0,4.653645271426343,ode_,scn1
8.0,55,0.0,4.653645271426343,ode_,scn1
12.0,55,0.0,4.653645271426343,ode_,scn1
24.0,55,0.0,4.653645271426343,ode_,scn1
48.0,55,0.0,4.653645271426343,ode_,scn1
72.0,55,0.0,4.653645271426343,ode_,scn1
120.0,55,0.0,4.653645271426343,ode_,scn1
0.0,56,0.0,4.489114663405221,ode_,scn1
2.0,56,0.0,4.489114663405221,ode_,scn1
4.0,56,0.0,4.489114663405221,ode_,scn1
8.0,56,0.0,4.489114663405221,ode_,scn1
12.0,56,0.0,4.489114663405221,ode_,scn1
24.0,56,0.0,4.489114663405221,ode_,scn1
48.0,56,0.0,4.489114663405221,ode_,scn1
72.0,56,0.0,4.489114663405221,ode_,scn1
120.0,56,0.0,4.489114663405221,ode_,scn1
0.0,57,0.0,5.236826511610902,ode_,scn1
2.0,57,0.0,5.236826511610902,ode_,scn1
4.0,57,0.0,5.236826511610902,ode_,scn1
8.0,57,0.0,5.236826511610902,ode_,scn1
12.0,57,0.0,5.236826511610902,ode_,scn1
24.0,57,0.0,5.236826511610902,ode_,scn1
48.0,57,0.0,5.236826511610902,ode_,scn1
72.0,57,0.0,5.236826511610902,ode_,scn1
120.0,57,0.0,5.236826511610902,ode_,scn1
0.0,58,0.0,5.0412713728925995,ode_,scn1
2.0,58,0.0,5.0412713728925995,ode_,scn1
4.0,58,0.0,5.0412713728925995,ode_,scn1
8.0,58,0.0,5.0412713728925995,ode_,scn1
12.0,58,0.0,5.0412713728925995,ode_,scn1
24.0,58,0.0,5.0412713728925995,ode_,scn1
48.0,58,0.0,5.0412713728925995,ode_,scn1
72.0,58,0.0,5.0412713728925995,ode_,scn1
120.0,58,0.0,5.0412713728925995,ode_,scn1
0.0,59,0.0,5.494694657858336,ode_,scn1
2.0,59,0.0,5.494694657858336,ode_,scn1
4.0,59,0.0,5.494694657858336,ode_,scn1
8.0,59,0.0,5.494694657858336,ode_,scn1
12.0,59,0.0,5.494694657858336,ode_,scn1
24.0,59,0.0,5.494694657858336,ode_,scn1
